Company Name,Industry,Symbol,Series,ISIN Code,Index
ACC Ltd.,CEMENT & CEMENT PRODUCTS,ACC,EQ,INE012A01025,Nifty 200
AU Small Finance Bank Ltd.,FINANCIAL SERVICES,AUBANK,EQ,INE949L01017,Nifty 200
Aarti Industries Ltd.,CHEMICALS,AARTIIND,EQ,INE769A01020,Nifty 200
Abbott India Ltd.,PHARMA,ABBOTINDIA,EQ,INE358A01014,Nifty 200
Adani Enterprises Ltd.,METALS,ADANIENT,EQ,INE423A01024,Nifty 200
Adani Green Energy Ltd.,POWER,ADANIGREEN,BE,INE364U01010,Nifty 200
Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS,EQ,INE742F01042,Nifty 200
Adani Total Gas Ltd.,OIL & GAS,ATGL,BE,INE399L01023,Nifty 200
Adani Transmission Ltd.,POWER,ADANITRANS,BE,INE931S01010,Nifty 200
Aditya Birla Capital Ltd.,FINANCIAL SERVICES,ABCAPITAL,EQ,INE674K01013,Nifty 200
Aditya Birla Fashion and Retail Ltd.,CONSUMER SERVICES,ABFRL,EQ,INE647O01011,Nifty 200
Ajanta Pharmaceuticals Ltd.,PHARMA,AJANTPHARM,EQ,INE031B01049,Nifty 200
Alembic Pharmaceuticals Ltd.,PHARMA,APLLTD,EQ,INE901L01018,Nifty 200
Alkem Laboratories Ltd.,PHARMA,ALKEM,EQ,INE540L01014,Nifty 200
Amara Raja Batteries Ltd.,AUTOMOBILE,AMARAJABAT,EQ,INE885A01032,Nifty 200
Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,AMBUJACEM,EQ,INE079A01024,Nifty 200
Apollo Hospitals Enterprise Ltd.,HEALTHCARE SERVICES,APOLLOHOSP,EQ,INE437A01024,Nifty 200
Apollo Tyres Ltd.,AUTOMOBILE,APOLLOTYRE,EQ,INE438A01022,Nifty 200
Ashok Leyland Ltd.,AUTOMOBILE,ASHOKLEY,EQ,INE208A01029,Nifty 200
Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT,EQ,INE021A01026,Nifty 200
Aurobindo Pharma Ltd.,PHARMA,AUROPHARMA,EQ,INE406A01037,Nifty 200
Avenue Supermarts Ltd.,CONSUMER SERVICES,DMART,EQ,INE192R01011,Nifty 200
Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK,EQ,INE238A01034,Nifty 200
Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO,EQ,INE917I01010,Nifty 200
Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE,EQ,INE296A01024,Nifty 200
Bajaj Finserv Ltd.,FINANCIAL SERVICES,BAJAJFINSV,EQ,INE918I01018,Nifty 200
Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES,BAJAJHLDNG,EQ,INE118A01012,Nifty 200
Balkrishna Industries Ltd.,AUTOMOBILE,BALKRISIND,EQ,INE787D01026,Nifty 200
Bandhan Bank Ltd.,FINANCIAL SERVICES,BANDHANBNK,EQ,INE545U01014,Nifty 200
Bank of Baroda,FINANCIAL SERVICES,BANKBARODA,EQ,INE028A01039,Nifty 200
Bank of India,FINANCIAL SERVICES,BANKINDIA,EQ,INE084A01016,Nifty 200
Bata India Ltd.,CONSUMER GOODS,BATAINDIA,EQ,INE176A01028,Nifty 200
Berger Paints India Ltd.,CONSUMER GOODS,BERGEPAINT,EQ,INE463A01038,Nifty 200
Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,BEL,EQ,INE263A01024,Nifty 200
Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING,BHARATFORG,EQ,INE465A01025,Nifty 200
Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING,BHEL,EQ,INE257A01026,Nifty 200
Bharat Petroleum Corporation Ltd.,OIL & GAS,BPCL,EQ,INE029A01011,Nifty 200
Bharti Airtel Ltd.,TELECOM,BHARTIARTL,EQ,INE397D01024,Nifty 200
Biocon Ltd.,PHARMA,BIOCON,EQ,INE376G01013,Nifty 200
Bombay Burmah Trading Corporation Ltd.,CONSUMER GOODS,BBTC,EQ,INE050A01025,Nifty 200
Bosch Ltd.,AUTOMOBILE,BOSCHLTD,EQ,INE323A01026,Nifty 200
Britannia Industries Ltd.,CONSUMER GOODS,BRITANNIA,EQ,INE216A01030,Nifty 200
CESC Ltd.,POWER,CESC,EQ,INE486A01013,Nifty 200
Cadila Healthcare Ltd.,PHARMA,CADILAHC,EQ,INE010B01027,Nifty 200
Canara Bank,FINANCIAL SERVICES,CANBK,EQ,INE476A01014,Nifty 200
Castrol India Ltd.,OIL & GAS,CASTROLIND,EQ,INE172A01027,Nifty 200
Cholamandalam Investment and Finance Company Ltd.,FINANCIAL SERVICES,CHOLAFIN,EQ,INE121A01024,Nifty 200
Cipla Ltd.,PHARMA,CIPLA,EQ,INE059A01026,Nifty 200
City Union Bank Ltd.,FINANCIAL SERVICES,CUB,EQ,INE491A01021,Nifty 200
Coal India Ltd.,METALS,COALINDIA,EQ,INE522F01014,Nifty 200
Coforge Ltd.,IT,COFORGE,EQ,INE591G01017,Nifty 200
Colgate Palmolive (India) Ltd.,CONSUMER GOODS,COLPAL,EQ,INE259A01022,Nifty 200
Container Corporation of India Ltd.,SERVICES,CONCOR,EQ,INE111A01025,Nifty 200
Coromandel International Ltd.,FERTILISERS & PESTICIDES,COROMANDEL,EQ,INE169A01031,Nifty 200
Crompton Greaves Consumer Electricals Ltd.,CONSUMER GOODS,CROMPTON,EQ,INE299U01018,Nifty 200
Cummins India Ltd.,INDUSTRIAL MANUFACTURING,CUMMINSIND,EQ,INE298A01020,Nifty 200
DLF Ltd.,CONSTRUCTION,DLF,EQ,INE271C01023,Nifty 200
Dabur India Ltd.,CONSUMER GOODS,DABUR,EQ,INE016A01026,Nifty 200
Dalmia Bharat Ltd.,CEMENT & CEMENT PRODUCTS,DALBHARAT,EQ,INE00R701025,Nifty 200
Deepak Nitrite Ltd.,CHEMICALS,DEEPAKNTR,EQ,INE288B01029,Nifty 200
Dhani Services Ltd.,FINANCIAL SERVICES,DHANI,EQ,INE274G01010,Nifty 200
Divi's Laboratories Ltd.,PHARMA,DIVISLAB,EQ,INE361B01024,Nifty 200
Dixon Technologies (India) Ltd.,CONSUMER GOODS,DIXON,EQ,INE935N01020,Nifty 200
Dr. Lal Path Labs Ltd.,HEALTHCARE SERVICES,LALPATHLAB,EQ,INE600L01024,Nifty 200
Dr. Reddy's Laboratories Ltd.,PHARMA,DRREDDY,EQ,INE089A01023,Nifty 200
Eicher Motors Ltd.,AUTOMOBILE,EICHERMOT,EQ,INE066A01021,Nifty 200
Emami Ltd.,CONSUMER GOODS,EMAMILTD,EQ,INE548C01032,Nifty 200
Endurance Technologies Ltd.,AUTOMOBILE,ENDURANCE,EQ,INE913H01037,Nifty 200
Escorts Ltd.,AUTOMOBILE,ESCORTS,EQ,INE042A01014,Nifty 200
Exide Industries Ltd.,AUTOMOBILE,EXIDEIND,EQ,INE302A01020,Nifty 200
Federal Bank Ltd.,FINANCIAL SERVICES,FEDERALBNK,EQ,INE171A01029,Nifty 200
Fortis Healthcare Ltd.,HEALTHCARE SERVICES,FORTIS,EQ,INE061F01013,Nifty 200
GAIL (India) Ltd.,OIL & GAS,GAIL,EQ,INE129A01019,Nifty 200
GMR Infrastructure Ltd.,CONSTRUCTION,GMRINFRA,EQ,INE776C01039,Nifty 200
Glenmark Pharmaceuticals Ltd.,PHARMA,GLENMARK,EQ,INE935A01035,Nifty 200
Godrej Agrovet Ltd.,CONSUMER GOODS,GODREJAGRO,EQ,INE850D01014,Nifty 200
Godrej Consumer Products Ltd.,CONSUMER GOODS,GODREJCP,EQ,INE102D01028,Nifty 200
Godrej Industries Ltd.,CONSUMER GOODS,GODREJIND,EQ,INE233A01035,Nifty 200
Godrej Properties Ltd.,CONSTRUCTION,GODREJPROP,EQ,INE484J01027,Nifty 200
Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,GRASIM,EQ,INE047A01021,Nifty 200
Gujarat Gas Ltd.,OIL & GAS,GUJGASLTD,EQ,INE844O01030,Nifty 200
Gujarat State Petronet Ltd.,OIL & GAS,GSPL,EQ,INE246F01010,Nifty 200
HCL Technologies Ltd.,IT,HCLTECH,EQ,INE860A01027,Nifty 200
HDFC Asset Management Company Ltd.,FINANCIAL SERVICES,HDFCAMC,EQ,INE127D01025,Nifty 200
HDFC Bank Ltd.,FINANCIAL SERVICES,HDFCBANK,EQ,INE040A01034,Nifty 200
HDFC Life Insurance Company Ltd.,FINANCIAL SERVICES,HDFCLIFE,EQ,INE795G01014,Nifty 200
Havells India Ltd.,CONSUMER GOODS,HAVELLS,EQ,INE176B01034,Nifty 200
Hero MotoCorp Ltd.,AUTOMOBILE,HEROMOTOCO,EQ,INE158A01026,Nifty 200
Hindalco Industries Ltd.,METALS,HINDALCO,EQ,INE038A01020,Nifty 200
Hindustan Aeronautics Ltd.,INDUSTRIAL MANUFACTURING,HAL,EQ,INE066F01012,Nifty 200
Hindustan Petroleum Corporation Ltd.,OIL & GAS,HINDPETRO,EQ,INE094A01015,Nifty 200
Hindustan Unilever Ltd.,CONSUMER GOODS,HINDUNILVR,EQ,INE030A01027,Nifty 200
Hindustan Zinc Ltd.,METALS,HINDZINC,EQ,INE267A01025,Nifty 200
Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,HDFC,EQ,INE001A01036,Nifty 200
ICICI Bank Ltd.,FINANCIAL SERVICES,ICICIBANK,EQ,INE090A01021,Nifty 200
ICICI Lombard General Insurance Company Ltd.,FINANCIAL SERVICES,ICICIGI,EQ,INE765G01017,Nifty 200
ICICI Prudential Life Insurance Company Ltd.,FINANCIAL SERVICES,ICICIPRULI,EQ,INE726G01019,Nifty 200
ICICI Securities Ltd.,FINANCIAL SERVICES,ISEC,EQ,INE763G01038,Nifty 200
IDFC First Bank Ltd.,FINANCIAL SERVICES,IDFCFIRSTB,EQ,INE092T01019,Nifty 200
ITC Ltd.,CONSUMER GOODS,ITC,EQ,INE154A01025,Nifty 200
Indiabulls Housing Finance Ltd.,FINANCIAL SERVICES,IBULHSGFIN,EQ,INE148I01020,Nifty 200
Indiamart Intermesh Ltd.,CONSUMER SERVICES,INDIAMART,EQ,INE933S01016,Nifty 200
Indian Hotels Co. Ltd.,CONSUMER SERVICES,INDHOTEL,EQ,INE053A01029,Nifty 200
Indian Oil Corporation Ltd.,OIL & GAS,IOC,EQ,INE242A01010,Nifty 200
Indian Railway Catering And Tourism Corporation Ltd.,SERVICES,IRCTC,EQ,INE335Y01012,Nifty 200
Indraprastha Gas Ltd.,OIL & GAS,IGL,EQ,INE203G01027,Nifty 200
Indus Towers Ltd.,TELECOM,INDUSTOWER,EQ,INE121J01017,Nifty 200
IndusInd Bank Ltd.,FINANCIAL SERVICES,INDUSINDBK,EQ,INE095A01012,Nifty 200
Info Edge (India) Ltd.,CONSUMER SERVICES,NAUKRI,EQ,INE663F01024,Nifty 200
Infosys Ltd.,IT,INFY,EQ,INE009A01021,Nifty 200
InterGlobe Aviation Ltd.,SERVICES,INDIGO,EQ,INE646L01027,Nifty 200
Ipca Laboratories Ltd.,PHARMA,IPCALAB,EQ,INE571A01020,Nifty 200
JSW Energy Ltd.,POWER,JSWENERGY,EQ,INE121E01018,Nifty 200
JSW Steel Ltd.,METALS,JSWSTEEL,EQ,INE019A01038,Nifty 200
Jindal Steel & Power Ltd.,METALS,JINDALSTEL,EQ,INE749A01030,Nifty 200
Jubilant Foodworks Ltd.,CONSUMER SERVICES,JUBLFOOD,EQ,INE797F01012,Nifty 200
Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,KOTAKBANK,EQ,INE237A01028,Nifty 200
L&T Finance Holdings Ltd.,FINANCIAL SERVICES,L&TFH,EQ,INE498L01015,Nifty 200
L&T Technology Services Ltd.,IT,LTTS,EQ,INE010V01017,Nifty 200
LIC Housing Finance Ltd.,FINANCIAL SERVICES,LICHSGFIN,EQ,INE115A01026,Nifty 200
Larsen & Toubro Infotech Ltd.,IT,LTI,EQ,INE214T01019,Nifty 200
Larsen & Toubro Ltd.,CONSTRUCTION,LT,EQ,INE018A01030,Nifty 200
Laurus Labs Ltd.,PHARMA,LAURUSLABS,EQ,INE947Q01028,Nifty 200
Lupin Ltd.,PHARMA,LUPIN,EQ,INE326A01037,Nifty 200
MRF Ltd.,AUTOMOBILE,MRF,EQ,INE883A01011,Nifty 200
Mahanagar Gas Ltd.,OIL & GAS,MGL,EQ,INE002S01010,Nifty 200
Mahindra & Mahindra Financial Services Ltd.,FINANCIAL SERVICES,M&MFIN,EQ,INE774D01024,Nifty 200
Mahindra & Mahindra Ltd.,AUTOMOBILE,M&M,EQ,INE101A01026,Nifty 200
Manappuram Finance Ltd.,FINANCIAL SERVICES,MANAPPURAM,EQ,INE522D01027,Nifty 200
Marico Ltd.,CONSUMER GOODS,MARICO,EQ,INE196A01026,Nifty 200
Maruti Suzuki India Ltd.,AUTOMOBILE,MARUTI,EQ,INE585B01010,Nifty 200
Max Financial Services Ltd.,FINANCIAL SERVICES,MFSL,EQ,INE180A01020,Nifty 200
MindTree Ltd.,IT,MINDTREE,EQ,INE018I01017,Nifty 200
Motherson Sumi Systems Ltd.,AUTOMOBILE,MOTHERSUMI,EQ,INE775A01035,Nifty 200
MphasiS Ltd.,IT,MPHASIS,EQ,INE356A01018,Nifty 200
Muthoot Finance Ltd.,FINANCIAL SERVICES,MUTHOOTFIN,EQ,INE414G01012,Nifty 200
NATCO Pharma Ltd.,PHARMA,NATCOPHARM,EQ,INE987B01026,Nifty 200
NMDC Ltd.,METALS,NMDC,EQ,INE584A01023,Nifty 200
NTPC Ltd.,POWER,NTPC,EQ,INE733E01010,Nifty 200
Navin Fluorine International Ltd.,CHEMICALS,NAVINFLUOR,EQ,INE048G01026,Nifty 200
Nestle India Ltd.,CONSUMER GOODS,NESTLEIND,EQ,INE239A01016,Nifty 200
Nippon Life India Asset Management Ltd.,FINANCIAL SERVICES,NAM-INDIA,EQ,INE298J01013,Nifty 200
Oberoi Realty Ltd.,CONSTRUCTION,OBEROIRLTY,EQ,INE093I01010,Nifty 200
Oil & Natural Gas Corporation Ltd.,OIL & GAS,ONGC,EQ,INE213A01029,Nifty 200
Oil India Ltd.,OIL & GAS,OIL,EQ,INE274J01014,Nifty 200
PI Industries Ltd.,FERTILISERS & PESTICIDES,PIIND,EQ,INE603J01030,Nifty 200
Page Industries Ltd.,TEXTILES,PAGEIND,EQ,INE761H01022,Nifty 200
Petronet LNG Ltd.,OIL & GAS,PETRONET,EQ,INE347G01014,Nifty 200
Pfizer Ltd.,PHARMA,PFIZER,EQ,INE182A01018,Nifty 200
Pidilite Industries Ltd.,CHEMICALS,PIDILITIND,EQ,INE318A01026,Nifty 200
Piramal Enterprises Ltd.,FINANCIAL SERVICES,PEL,EQ,INE140A01024,Nifty 200
Polycab India Ltd.,INDUSTRIAL MANUFACTURING,POLYCAB,EQ,INE455K01017,Nifty 200
Power Finance Corporation Ltd.,FINANCIAL SERVICES,PFC,EQ,INE134E01011,Nifty 200
Power Grid Corporation of India Ltd.,POWER,POWERGRID,EQ,INE752E01010,Nifty 200
Prestige Estates Projects Ltd.,CONSTRUCTION,PRESTIGE,EQ,INE811K01011,Nifty 200
Procter & Gamble Hygiene & Health Care Ltd.,CONSUMER GOODS,PGHH,EQ,INE179A01014,Nifty 200
Punjab National Bank,FINANCIAL SERVICES,PNB,EQ,INE160A01022,Nifty 200
RBL Bank Ltd.,FINANCIAL SERVICES,RBLBANK,EQ,INE976G01028,Nifty 200
REC Ltd.,FINANCIAL SERVICES,RECLTD,EQ,INE020B01018,Nifty 200
Reliance Industries Ltd.,OIL & GAS,RELIANCE,EQ,INE002A01018,Nifty 200
SBI Cards and Payment Services Ltd.,FINANCIAL SERVICES,SBICARD,EQ,INE018E01016,Nifty 200
SBI Life Insurance Company Ltd.,FINANCIAL SERVICES,SBILIFE,EQ,INE123W01016,Nifty 200
SRF Ltd.,CHEMICALS,SRF,EQ,INE647A01010,Nifty 200
Sanofi India Ltd.,PHARMA,SANOFI,EQ,INE058A01010,Nifty 200
Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,SHREECEM,EQ,INE070A01015,Nifty 200
Shriram Transport Finance Co. Ltd.,FINANCIAL SERVICES,SRTRANSFIN,EQ,INE721A01013,Nifty 200
Siemens Ltd.,INDUSTRIAL MANUFACTURING,SIEMENS,EQ,INE003A01024,Nifty 200
State Bank of India,FINANCIAL SERVICES,SBIN,EQ,INE062A01020,Nifty 200
Steel Authority of India Ltd.,METALS,SAIL,EQ,INE114A01011,Nifty 200
Sun Pharmaceutical Industries Ltd.,PHARMA,SUNPHARMA,EQ,INE044A01036,Nifty 200
Sun TV Network Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,SUNTV,EQ,INE424H01027,Nifty 200
Syngene International Ltd.,HEALTHCARE SERVICES,SYNGENE,EQ,INE398R01022,Nifty 200
TVS Motor Company Ltd.,AUTOMOBILE,TVSMOTOR,EQ,INE494B01023,Nifty 200
Tata Chemicals Ltd.,CHEMICALS,TATACHEM,EQ,INE092A01019,Nifty 200
Tata Consultancy Services Ltd.,IT,TCS,EQ,INE467B01029,Nifty 200
Tata Consumer Products Ltd.,CONSUMER GOODS,TATACONSUM,EQ,INE192A01025,Nifty 200
Tata Elxsi Ltd.,IT,TATAELXSI,EQ,INE670A01012,Nifty 200
Tata Motors Ltd.,AUTOMOBILE,TATAMOTORS,EQ,INE155A01022,Nifty 200
Tata Power Co. Ltd.,POWER,TATAPOWER,EQ,INE245A01021,Nifty 200
Tata Steel Ltd.,METALS,TATASTEEL,EQ,INE081A01012,Nifty 200
Tech Mahindra Ltd.,IT,TECHM,EQ,INE669C01036,Nifty 200
The Ramco Cements Ltd.,CEMENT & CEMENT PRODUCTS,RAMCOCEM,EQ,INE331A01037,Nifty 200
Titan Company Ltd.,CONSUMER GOODS,TITAN,EQ,INE280A01028,Nifty 200
Torrent Pharmaceuticals Ltd.,PHARMA,TORNTPHARM,EQ,INE685A01028,Nifty 200
Torrent Power Ltd.,POWER,TORNTPOWER,EQ,INE813H01021,Nifty 200
Trent Ltd.,CONSUMER SERVICES,TRENT,EQ,INE849A01020,Nifty 200
UPL Ltd.,FERTILISERS & PESTICIDES,UPL,EQ,INE628A01036,Nifty 200
UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,ULTRACEMCO,EQ,INE481G01011,Nifty 200
Union Bank of India,FINANCIAL SERVICES,UNIONBANK,EQ,INE692A01016,Nifty 200
United Breweries Ltd.,CONSUMER GOODS,UBL,EQ,INE686F01025,Nifty 200
United Spirits Ltd.,CONSUMER GOODS,MCDOWELL-N,EQ,INE854D01024,Nifty 200
V-Guard Industries Ltd.,CONSUMER GOODS,VGUARD,EQ,INE951I01027,Nifty 200
Varun Beverages Ltd.,CONSUMER GOODS,VBL,EQ,INE200M01013,Nifty 200
Vedanta Ltd.,METALS,VEDL,EQ,INE205A01025,Nifty 200
Vodafone Idea Ltd.,TELECOM,IDEA,EQ,INE669E01016,Nifty 200
Voltas Ltd.,CONSUMER GOODS,VOLTAS,EQ,INE226A01021,Nifty 200
Whirlpool of India Ltd.,CONSUMER GOODS,WHIRLPOOL,EQ,INE716A01013,Nifty 200
Wipro Ltd.,IT,WIPRO,EQ,INE075A01022,Nifty 200
Yes Bank Ltd.,FINANCIAL SERVICES,YESBANK,EQ,INE528G01035,Nifty 200
Zee Entertainment Enterprises Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,ZEEL,EQ,INE256A01028,Nifty 200
